Date,chanNum,Depth,Screws
20201120,1,0,0
20201120,2,0,0
20201120,3,0,0
20201120,4,51.5,51.5
20201120,5,61.75,61.75
20201120,6,57.75,57.75
20201120,7,61.5,61.5
20201120,8,58,58
20201120,9,44,44
20201120,10,31,31
20201120,11,30,30
20201120,12,30.5,30.5
20201120,13,55,55
20201120,14,43.25,43.25
20201120,15,54.75,54.75
20201120,16,54,54
20201120,17,68,68
20201120,18,55,55
20201120,19,40,40
20201120,20,44,44
20201120,21,49,49
20201120,22,32.25,32.25
20201120,23,29.25,29.25
20201120,24,46.5,46.5
20201120,25,65,65
20201120,26,64.5,64.5
20201120,27,71,71
20201120,28,62.25,62.25
20201120,29,57,57
20201120,30,64,64
20201120,31,55,55
20201120,32,58,58
20201120,33,55,55
20201120,34,53,53
20201120,35,23.5,23.5
20201120,36,59,59
20201120,37,59.25,59.25
20201120,38,95,95
20201120,39,70,70
20201120,40,68,68
20201120,41,70,70
20201120,42,68,68
20201120,43,75,75
20201120,44,60,60
20201120,45,53,53
20201120,46,43,43
20201120,47,27,27
20201120,48,49,49
20201120,49,54.25,54.25
20201120,50,68.75,68.75
20201120,51,75,75
20201120,52,65.25,65.25
20201120,53,68.5,68.5
20201120,54,59.5,59.5
20201120,55,69,69
20201120,56,60.75,60.75
20201120,57,69,69
20201120,58,52.5,52.5
20201120,59,41,41
20201120,60,26,26
20201120,61,65,65
20201120,62,74.5,74.5
20201120,63,98.5,98.5
20201120,64,72,72
20201120,65,70.5,70.5
20201120,66,70,70
20201120,67,67,67
20201120,68,69,69
20201120,69,67,67
20201120,70,60,60
20201120,71,44,44
20201120,72,30,30
20201120,73,64,64
20201120,74,74,74
20201120,75,76,76
20201120,76,64,64
20201120,77,72,72
20201120,78,74,74
20201120,79,75.5,75.5
20201120,80,71,71
20201120,81,72,72
20201120,82,66.5,66.5
20201120,83,52,52
20201120,84,31.25,31.25
20201120,85,69,69
20201120,86,77,77
20201120,87,77.25,77.25
20201120,88,78,78
20201120,89,77.75,77.75
20201120,90,76,76
20201120,91,72,72
20201120,92,66,66
20201120,93,54,54
20201120,94,51,51
20201120,95,34,34
20201120,96,59,59
20201120,97,67,67
20201120,98,74.75,74.75
20201120,99,78.75,78.75
20201120,100,73.5,73.5
20201120,101,76,76
20201120,102,74,74
20201120,103,70.5,70.5
20201120,104,61,61
20201120,105,49,49
20201120,106,31.5,31.5
20201120,107,56,56
20201120,108,70,70
20201120,109,70,70
20201120,110,71,71
20201120,111,68,68
20201120,112,72.75,72.75
20201120,113,71,71
20201120,114,63,63
20201120,115,56.75,56.75
20201120,116,29,29
20201120,117,37.5,37.5
20201120,118,38,38
20201120,119,63,63
20201120,120,65,65
20201120,121,69.5,69.5
20201120,122,69,69
20201120,123,65,65
20201120,124,55,55
20201120,125,61,61
20201120,126,28,28
20201120,127,64.5,64.5
20201120,128,58,58
20201120,129,61,61
20201120,130,64,64
20201120,131,67,67
20201120,132,68.25,68.25
20201120,133,56,56
20201120,134,60.5,60.5
20201120,135,29,29
20201120,136,56.5,56.5
20201120,137,65,65
20201120,138,62,62
20201120,139,58.25,58.25
20201120,140,46,46
20201120,141,59,59
20201120,142,53.5,53.5
20201120,143,58,58
20201120,144,28,28
20201120,145,0,0
20201120,146,0,0
20201120,147,0,0
20201120,148,0,0
20201120,149,0,0
20201120,150,0,0
20201120,151,0,0
20201120,152,0,0
20201120,153,0,0
20201120,154,0,0
20201120,155,0,0
20201120,156,0,0
20201120,157,0,0
20201120,158,0,0
20201120,159,0,0
20201120,160,0,0
20201121,1,0,0
20201121,2,0,0
20201121,3,0,0
20201121,4,51.5,0
20201121,5,61.75,0
20201121,6,57.75,0
20201121,7,61.5,0
20201121,8,58,0
20201121,9,44,0
20201121,10,31,0
20201121,11,30,0
20201121,12,30.5,0
20201121,13,55,0
