channel,depth
4,"[55.0, 61.0]"
5,"[65.25, 72.0, 74.0]"
6,"[59.75, 71.75, 73.0, 78.75, 79.5]"
7,"[62.5, 72.0, 74.0, 78.75, 81.25]"
8,"[59.0, 73.0, 74.25]"
9,"[45.0, 52.0, 52.5, 58.0, 61.75, 64.0]"
13,"[55.0, 55.5, 56.0, 57.0, 61.75, 70.0]"
14,[61.0]
15,[61.0]
16,[61.0]
24,"[54.5, 65.5, 69.75]"
25,"[65.0, 67.5, 78.5, 89.5]"
26,"[65.5, 77.0]"
27,"[71.0, 76.0]"
28,"[62.25, 63.25, 70.75, 81.0, 85.5, 90.0, 91.5, 97.0]"
29,"[83.0, 93.5, 94.5, 97.0, 104.5]"
30,"[64.0, 66.0, 75.0, 76.75, 77.25, 95.25, 96.25, 98.75, 120.0]"
31,"[76.0, 77.75, 78.0, 104.5, 107.25, 108.5, 122.0]"
32,"[70.0, 76.25, 79.25, 96.25, 128.5, 131.0, 133.0]"
33,"[55.0, 65.0, 65.5, 67.25, 68.5, 72.5, 73.5, 79.0, 81.0]"
34,"[53.0, 53.75, 60.0, 62.0, 64.0, 65.5, 66.0, 70.25, 71.0, 71.75, 73.5, 74.25]"
36,"[70.0, 73.0]"
37,[70.0]
38,[117.5]
40,"[68.0, 75.75, 80.5, 84.0, 110.0, 111.5, 115.0]"
44,"[60.0, 61.0, 65.0, 68.5, 75.0, 77.5, 79.0, 80.75, 85.5]"
45,"[53.0, 67.5, 71.0, 72.5, 73.5, 74.25, 75.75, 87.5]"
48,[72.0]
49,"[60.0, 77.0, 84.0, 84.75, 85.75, 88.0]"
50,"[90.0, 102.25, 106.0]"
52,"[70.0, 75.0]"
58,"[52.5, 56.75, 61.75, 65.5, 68.0, 70.0, 70.75, 71.75, 72.5, 73.0, 121.0, 126.0, 128.0, 129.5]"
61,"[67.0, 71.0, 96.0, 98.0, 99.25, 103.25]"
63,"[98.5, 99.5, 100.0, 107.0, 135.0, 138.0, 141.0]"
64,"[92.75, 104.75, 110.0]"
65,"[70.5, 76.0, 82.0, 84.0]"
70,"[60.0, 62.5, 65.0, 66.0, 67.5, 70.25, 71.25, 72.0, 78.0, 80.0, 83.0, 85.0, 87.25, 89.5]"
81,"[72.0, 75.0, 76.5, 98.0, 100.0, 101.25]"
83,"[52.0, 55.75, 56.75, 62.0, 63.75, 65.0, 66.0, 67.0, 68.75, 70.0]"
85,"[69.0, 81.5, 87.25, 89.0, 91.25, 91.5, 92.75]"
88,"[78.0, 87.5, 93.0, 110.25, 111.25, 113.0, 113.5, 116.0]"
94,"[51.5, 56.5, 61.0, 61.5, 62.75, 63.75, 64.75, 67.0, 67.5, 72.5, 78.0]"
97,"[67.0, 75.0, 81.0, 83.75]"
100,"[73.5, 74.5, 80.5, 81.5, 82.0, 83.25, 83.75, 84.25]"
105,"[49.0, 50.5, 53.75, 54.25, 55.25, 57.0, 59.0, 61.0, 61.5, 62.25, 63.0, 63.5, 64.0, 64.5, 64.75, 65.0]"
110,"[69.5, 71.0, 79.0, 79.5, 81.0, 99.0, 104.0, 105.0, 114.0]"
112,"[72.75, 74.5, 75.0, 77.75, 78.25, 101.0, 112.0]"
114,"[63.0, 63.25, 63.5, 64.25, 65.5, 65.75, 67.5, 68.0, 68.5]"
115,"[56.75, 57.25, 59.25, 61.0, 66.5, 69.0, 72.5, 76.5, 77.5, 78.5, 80.25, 83.75, 85.0, 86.5, 110.0, 114.5]"
117,"[37.5, 45.0, 46.5, 50.5, 51.25, 52.5, 57.0, 62.0]"
125,"[61.0, 65.0, 67.5, 74.5, 78.0, 81.0, 84.0, 100.0]"
127,"[64.5, 67.25, 70.0, 72.0, 74.0, 74.25, 95.0, 96.5, 98.5, 102.5]"
128,"[58.0, 62.0, 64.0, 65.0, 67.75, 69.0, 70.0, 71.25, 73.25, 82.0, 86.25, 89.5, 92.0]"
129,"[61.0, 63.5, 64.0, 65.0, 66.5, 73.0, 77.25, 83.0, 87.0]"
130,"[64.0, 65.0, 66.0, 67.5, 69.0, 70.0, 71.0, 71.5, 76.0]"
132,"[68.25, 68.5, 71.25, 73.0, 74.25, 76.0, 78.0, 80.0, 81.5, 83.0, 105.0, 105.75, 106.0, 106.5]"
133,"[56.0, 57.0, 58.75, 59.5, 60.75, 63.0, 65.5, 66.75]"
134,"[60.5, 62.0, 67.5, 104.0, 112.0, 119.0]"
136,"[56.5, 58.0, 58.5, 60.5, 61.0, 63.0]"
137,"[65.0, 65.25, 65.75, 67.0]"
139,"[58.25, 58.5, 59.0, 60.25]"
140,"[56.0, 60.5, 64.0, 64.75, 65.5, 65.75, 66.25, 66.75, 67.0]"
142,"[53.5, 54.0, 56.0, 57.0, 59.75, 60.0, 60.25, 60.75, 61.0, 62.0, 62.5, 62.75]"
